URL,Titre,Prix,Année,Kilométrage,Carburant,Boite de vitesses,Marque,Modèle
https://www.avito.ma/fr/maarif/voitures_d_occasion/PORSCHE_CAYENNE_55969636.htm,PORSCHE CAYENNE,720000 DH,2020,85000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/maarif/voitures_d_occasion/BMW_Série_740_55743356.htm,BMW Série 740,350000 DH,2017,110000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/maarif/voitures_d_occasion/Porsche_Macan_S_57262633.htm,Porsche Macan S,480000 DH,2018,100000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Hyundai_Creta_1_5_MPi_115_AT_Premium_57306045.htm,Hyundai Creta 1.5 MPi 115 AT Premium,207000 DH,2024,38038,Essence,Automatique,N/A,N/A
https://www.avito.ma/fr/maarif/voitures_d_occasion/PORSCHE_MACAN_PACK_GTS_57189897.htm,PORSCHE MACAN PACK GTS,650000 DH,2024,50000,Essence,Automatique,N/A,N/A
https://www.avito.ma/fr/oued_fès/voitures_d_occasion/Ford_Fiesta_Diesel_2021_57746738.htm,Ford Fiesta Diesel 2021,160000 DH,2021,87000,Diesel,Manuelle,N/A,N/A
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Dacia_Duster_1_5_dCi_110_EDC_Prestige_50409842.htm,Dacia Duster 1.5 dCi 110 EDC Prestige,239000 DH,2024,90000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/LAND_ROVER_RANGE_ROVER_SPORT_2017_56565619.htm,LAND-ROVER RANGE ROVER SPORT 2017,290000 DH,2017,162501,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Mercedes_Benz_Classe_C_2020_en_très_bon_état_57765468.htm,Mercedes Benz Classe C 2020 en très bon état,0 DH,2020,690000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/maroc/voitures_d_occasion-à_vendre,Voitures d'occasion    à vendre au  Maroc : 99915 annonces,N/A,N/A,km km,Diesel Essence Electrique LPG Hybride,Automatique Manuelle,CHOISIR  - MODÈLE CHEVRONRIGHT ICON,CHOISIR MARQUE -  CHEVRONRIGHT ICON
https://www.avito.ma/fr/maarif/voitures_d_occasion/RANGE_ROVER_VOGUE_HSE_56510562.htm,RANGE ROVER VOGUE HSE,540000 DH,2019,100000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/berrechid/voitures_d_occasion/Dossan_et_Volvo_à_vendre_et_à_louer_57795283.htm,Dossan et Volvo à vendre et à louer,0 DH,2015,N/A,Diesel,N/A,N/A,DESCRIPTION
https://www.avito.ma/fr/hay_salam/voitures_d_occasion/LAND_ROVER_RANGE_ROVER_EVOQUE_2018_57270175.htm,LAND-ROVER RANGE ROVER EVOQUE 2018,235000 DH,2017,171000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/gauthier/voitures_d_occasion/Ford_Mustang_Essence_Automatique_2020_à_Casablanca_57282619.htm,Ford Mustang Essence Automatique 2020 à Casablanca,320000 DH,2020,95000,Essence,Automatique,N/A,N/A
https://www.avito.ma/fr/sidi_bernoussi/voitures_d_occasion/Omoda_C5_1_5L_ESS_CVT_LUX_avec_TOIT_56766115.htm,Omoda C5 1.5L ESS CVT LUX avec TOIT,0 DH,2024,5000,Essence,Automatique,N/A,N/A
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Mercedes_GLE_2023_à_Vendre_en_très_bon_état_57770875.htm,Mercedes GLE 2023 à Vendre en très bon état,0 DH,2023,19000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/maarif/voitures_d_occasion/Range_Rover_Bb_velar_55965716.htm,Range Rover Bb velar,340000 DH,2020,95000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/maarif/voitures_d_occasion/Range_Rover_Vogue_SD_V8_57518324.htm,Range Rover Vogue SD V8,300000 DH,2015,150000,Diesel,Automatique,N/A,N/A
https://www.avito.ma/fr/anfa/voitures_d_occasion/AUDI_A4_Diesel_Automatique_2021_57189187.htm,AUDI A4 Diesel Automatique 2021,295000 DH,2021,117501,Diesel,Automatique,N/A,N/A
